product_info_no,category,content,delivery_fee,info_notice,reg_date,stock,upd_date,view_cnt,product_id
1,핸드메이드,"귀엽고 앙증맞은
볼 통통한 토끼 ""볼토""를 소개합니다.

오동통한 볼을 콱!!
깨물어 주고 싶은 ""볼토"" (볼 통통한 토끼)
조그마한 아이라 가방에도 쏘옥~ 들어간답니다.
애착인형으로~ 반려인형으로~

볼토에 키 링을 달아 언제나 함께 할 수도 있어요.
아이들 가방에도
잊어버리기 쉬운 열쇠고리에도
자동차 키에도
귀여운 볼토 함께해요.
선물용으로도 좋아요~ ^^

헤라 코튼 실로 뜬 보들보들한 쪼꼬미 인형이에요.

헤라 코튼(제일모직)
cotton 55%
A/A 45%
Wool 5%
made in Korea",3000,"종류 | 핸드메이드 손뜨개, 소재 | cotton 55% A/A 45% Wool 5%, 제조자 / 제조국 | 쿤/대한민국",2022-12-26 11:59:17.814,100,2022-12-26 11:59:17.814,0,1
2,핸드메이드,"👏🏻👏🏻👏🏻
💗2022 상반기 결산 베스트 작품 선정💗

뜨개 호보백

가볍게 들고 다닐 수 있는 사이즈입니다!
어깨에 메면 옆구리에 착붙이에요😉


✅소재
울 40% 아크릴 60%
봄, 가을, 겨울에 들기 좋은 소재입니다 :-)


✅사이즈
가로 : 24cm
세로 : 17cm
끈 길이 : 약 52cm
(핸드메이드 제품으로 약간의 오차는 있을 수 있습니다🙂)


✅참고해주세요💛
가방에 똑딱이나 자석단추는 없습니다
옵션에서 추가로 파우치 구매 가능합니다
(지퍼있는 광목파우치 가로 20cm 세로 13cm)


✅배송기간
고를 수 있는 색상이 많은만큼
주문 들어오는대로 실을 주문하고있습니다
발송까지 약 14일 정도 소요되는점 양해부탁드립니다🧡",3000,"종류 | 호보백/숄더백, 색상	| Blue 컬러, 소재 | 울 40% 아크릴 60%",2022-12-26 12:03:42.763,100,2022-12-26 12:03:42.763,0,2
3,핸드메이드,"🍒 하트 체리 키링
반짝반짝 펄이 들어간 투명 빨간 체리 팬던트에
아크릴 하트 팬던트, 그리고 포인트가 될 수 있는
투컬러 미니 큐빅이 더해져
강렬하면서도 귀여운 키링이 제작되었습니다!


🍒 구성요소
- 체리 팬던트
- 아크릴하트 팬던트
- 미니 투컬러 큐빅 팬던트 (단면)


🍒 컬러
- 레드

🍒 사이즈
- (고리포함) 약 8cm


🍒 스마트키용 키링으로 구매하시는 분들을 위해 작은고리를 함께 보내드리고 있습니다. 스마트키나 다이어리등 구멍이 작아 키링과 직접 연결이 힘드신 분들은 동봉되어 있는 작은고리를 이용하여 키링과 스마트키등을 연결해서 사용하세요!
",3000,"종류 | 키링 악세사리, 소재	|  태슬 : 샤무드  금속 : 도금, 제조자 / 제조국 | 쿤 / korea",2022-12-26 12:50:57.953,8,2023-01-07 15:18:38.393,0,3
4,핸드메이드,"✅️ 리뷰 작성시 ✅️
🎉 청과 어울리는 탄산수 증정!🎉
✨️요청란에 리뷰작성 이라고 남겨주세요✨️
(리뷰작성 이라고 없으면 사은품이 누락됩니다ㅠ)
💎주관적 리뷰도 저희를 성장시킵니다💎
꼭 써주시길 부탁드립니다. 🙏🙂

✅️ 작가 팔로우시 ✅️
즉시 사용 가능한 할인쿠폰 증정
팔로우 후 제품 구매시 즉시 할인쿠폰!
최대 3,000원 까지 할인 받고 구매하세요!

✅️ 3병이상 구매시 ✅️
✨️수제 퓨레 추가증정!✨️
사은품이 이렇게 맛있냐고
많이들 놀라십니다!
사용이 편한 스파우트파우치!
✨️용량도 무려200g!✨️

🔰모든 혜택 다 누리세요♡🔰

👨‍💻문의, 컴플레인 응대 속도
저희가 최고입니다.👨‍💻
⛔️주소지 변경으로 문의했는데
답변 없어 노심초사
⛔️제품 잘 못 왔는데 문의해도
답변 없어 속상속상
⛔️환불 신청했는데 빨리 처리되지 않아
발송되면 어쩌나 걱정걱정
⛔️기타 궁금해서 메세지 남겼는데
답변 없어 답답하신적 많으실텐데요

🔰 저희는 그럴일 없습니다. 🔰
대표가 직접 모든 문의와 컴플레인에
긴장하며 응대합니다.

🔊문의는 저녁 8시 까지 답변하고
📢컴플레인은 새벽에 자다 깨서도 답변합니다.

💯고객 응대만 18년째 합니다.
저희는 고객의 마음을 압니다.💯",3000,액상차/서울 중랑구 신내로225 디아뜨갤러리 1층/수령후 5주 이내,2022-12-26 12:55:08.224,6,2023-01-07 15:18:38.357,0,4
5,노하우,"[서비스 설명]

1. 전문가 소개
강남에 거주하며 아이를 영어유치원을 졸업시키고 레테 전쟁을 거치면서 엄마표로 준비하면서 많은 정보 부족을 느꼈습니다. 특히 워킹맘에서 오는 한계로 인하여 처음에는 원하는 3점대 학원에 합격을 못 시켰습니다. 이후 과감하게 직장을 그만두고 이사를 하면서 역시 원하는 학원에 입학시키기까지 역시 많은 노력이 필요했습니다. 지인분의 제안으로 심리상담사1급 자격증을 취득했고 강남에 살며 아이들 키우며 모은 정보를 유용하게 공유하는 상담 프로그램을 만들게 되었습니다.


2. 서비스 소개
가.STANDARD 상품
40분간 비대면으로 예비6세 소마 입테 엄마표 준비 방법을 알려드립니다.

[서비스 제공 절차]
가. 결제 -> 상담일 확정-> 실시간 비대면 상담40분/50분 진행 -> 상담완료 -> 구매확정",0,연락 가능 시간: 0시 ~ 11시,2022-12-26 13:07:07.810,5,2022-12-26 13:07:07.810,0,5
6,노하우,"[서비스 설명]

# 과학기술혁신정책 컨설턴트 출신의 실력있는 기획자가 제작하는 엑셀
# 산업부 & 과학기술정보통신부 & 중소벤처기업부 DB 분석 & 통계 엑셀
# Management 필수 서식 & 효율성 Up

- - - 고객 Needs에 맞춘 customizing - - -
 1) VBA를 활용하지 않은 수식형 엑셀
 Q. WHY? VBA를 사용하지 않나요 ?
  A. VBA를 활용할 경우 사후관리를 위한 추가적인 커스텀마이징 지속적으로 필요한 단점.

 2) 간결한 함수식을 활용한 분석
  - 분석 Need에 맞춘 엑셀 분석 시트 작성
  - 간결한 함수식 활용을 통해 추가 분석시 활용성 UP
  - 데이터 추가시 자동 계산 완성",0,연락 가능 시간: 8시 ~ 22시,2022-12-26 13:12:13.183,8,2022-12-26 13:12:13.183,0,6
7,노하우,"[서비스 설명]

안녕하세요 김선생입니다.
2020년 03월부터 약 2년동안 주식/비트코인/해외선물 수강생들을 1:1로 직접 얼굴을 맞대고 오프라인 & 비대면 온라인 레슨하며 개인 블로그나 홈페이지를 운영했습니다.
매매일지 등 그 동안 수강생분들 누적수익을 현재까지도 날마다 업로드 중 입니다.

본 전자책의 목적은 해외선물을 해보신 분들을 위해 제작되었습니다.
해외선물이 처음이신분들은 추후 vod강의로 수강하시는것을 추천드립니다.

*이 기법은 (KB증권 앞자리 3 실제 계좌인증)
현재 22.11.15(기준) 까지도 제가 실전매매 하고 있는 기법이며 214번 진입하여
160번 진입 54번 손절 / 수익금 2500만원 정도 유지 중입니다.


--------------강의 커리큘럼(35 page)--------------
제1강 해외선물 하는 이유?
제2강 차트세팅
제3강 매매방법론(상승장/ 하락장/ 비추세장)
매매시 주의사항
 22.11.01 ~ 13 장 리뷰
제4강 마인드 

",0,연락 가능 시간: 25시 ~ 25시,2022-12-26 13:17:52.014,7,2022-12-26 13:17:52.014,0,7
8,노하우,"블로그 오토수익 강의 + 뉴스픽 자동
-뉴스픽 자동 제품은 받은 당일부터 수익 창출가능
-블로그 오토수익화 이론 및 기술 강의 영상 제공

[소개]
2012년부터 애드센스광고를 주업으로한 전문마케터 입니다.
자동화수익을 위해 많은 연구를 했으며
현재 만족할 수준의 성과를 이뤄냈습니다.
더 많은 수익을 위해 매일 꾸준히 연구하고 있으며
그 결과물들을 여러분들과 공유하고 싶습니다.

작업일 : 30일",0,연락 가능 시간: 10시 ~ 22시,2022-12-26 13:20:52.203,3,2022-12-26 13:20:52.203,0,8
9,취미/특기,"ABOUT
이번에 진행할클래스를 소개합니다

🎁 클래스 구성 및 소요 시간 🎁

• 기초 기법 배우기 (20분)
• 제주도 푸른 바다 (1시간)
• 따뜻한 봄의 에펠탑 (1시간)
• 휴양지의 노을 (1시간)
• 핑크빛 유럽 풍경 (1시간)



LEARN
클래스를 통해내가 배울 수 있는 것들
📍 기초 기법 배우기 📍

오일파스텔 그림을 그리기 위한
기초 기법을 간단하게 배웁니다.

면을 채우는 방법과
그러데이션을 하는 법을
먼저 배울 거예요.",0,"※ 스트리밍 시작 후 7일이 지나는 경우, 클래스 영상 시청과 관계없이 사용일수에 따른 금액 차감 후 환불됩니다.",2022-12-26 13:29:04.243,24,2023-01-07 11:56:33.392,0,9
10,취미/특기,"ABOUT
이번에 진행할클래스를 소개합니다

😸 클래스 구성 및 소요 시간 😻

• 고양이 발바닥 젤리 마그넷 (1시간 30분)
• 단색 고양이 (2시간)
• 삼색무늬 고양이 (2시간 30분)
• 태비 고양이 (2시간 30분)
• 보너스 1: 커스텀하기
• 보너스 2: 튼튼하게 키링을 연결하는 법

🎁 준비물 패키지가 포함된 상품입니다.
이미 니들펠트 바늘이 있는 수강생들을 위한 재료 패키지(바늘 미포함)

• 기본 양모: 약 25g (마그넷1,키링2 분량)
• 색상 선택 양모1: 6g(러시안블루, 블랙, 아비시니안 중 택1)
• 색상 선택 양모2: 6g(치즈태비,고등어태비,아메숏 중 택1)
• 스펀지 1
• 펠트용 기화펜 1
• 송곳 1
• 키링 부속재료 4세트
• 자석 1
• 꾸밈용 리본 1
• 간단한 도안 1",0,"※ 스트리밍 시작 후 7일이 지나는 경우, 클래스 영상 시청과 관계없이 사용일수에 따른 금액 차감 후 환불됩니다.",2022-12-26 13:33:54.844,39,2023-01-06 12:52:07.666,0,10
